ID,Topic,Subtopic,Question,Answer,Concept Explanation,Difficulty (1-5),Units Involved,Formula Used,Reasoning
1,Optics,Refraction,Derive and explain the significance of the formula 'n1sinθ1 = n2sinθ2' in Refraction.,The formula 'n1sinθ1 = n2sinθ2' relates key measurable physical quantities in Refraction.,The formula comes from theoretical derivation or experimental observation in the domain of Refraction.,5,unitless,n1sinθ1 = n2sinθ2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Refraction.
2,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,4,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
3,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
4,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
5,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,2,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
6,Thermodynamics,Heat Transfer,Calculate the heat energy needed to raise the temperature of 8.62 kg of water by 51°C.,Q = mcΔT = 8.62 × 4.18 × 51 = 1836.90 J,"This formula is based on calorimetry, representing heat transfer with no phase change.",2,"J, °C, kg",Q = mcΔT,It uses the assumption of constant specific heat. The concept is foundational in thermodynamics.
7,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'E = F/q' in Electrostatics.,The formula 'E = F/q' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",E = F/q,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
8,Mechanics,Kinematics,An object starts with initial velocity 30 m/s and accelerates at 0.63 m/s² for 14 seconds. Find its final velocity.,v = u + at = 30 + 0.63×14 = 38.76 m/s,"This kinematic formula connects final velocity with initial velocity, acceleration, and time.",3,"m, s",v = u + at,The formula assumes uniform acceleration. The derivation comes from integrating acceleration over time.
9,Mechanics,Dynamics,Calculate the force required to accelerate a 87 kg object at 3.79 m/s².,F = ma = 87 × 3.79 = 329.51 N,Newton's Second Law relates force with mass and acceleration.,4,"N, kg, m/s^2",F = ma,"This reasoning holds true as per classical mechanics, assuming no other forces like friction. It quantifies the cause-effect relationship in motion."
10,Mechanics,"Work, Power, Energy","Derive and explain the significance of the formula 'P = W/t' in Work, Power, Energy.","The formula 'P = W/t' relates key measurable physical quantities in Work, Power, Energy.","The formula comes from theoretical derivation or experimental observation in the domain of Work, Power, Energy.",3,"J, W, kg, m, s",P = W/t,"This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Work, Power, Energy."
11,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,3,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
12,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
13,Electricity and Magnetism,Current Electricity,Derive and explain the significance of the formula 'V = IR' in Current Electricity.,The formula 'V = IR' relates key measurable physical quantities in Current Electricity.,The formula comes from theoretical derivation or experimental observation in the domain of Current Electricity.,5,"V, A, Ω",V = IR,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Current Electricity.
14,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,2,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
15,Thermodynamics,Laws of Thermodynamics,Derive and explain the significance of the formula 'ΔU = Q - W' in Laws of Thermodynamics.,The formula 'ΔU = Q - W' relates key measurable physical quantities in Laws of Thermodynamics.,The formula comes from theoretical derivation or experimental observation in the domain of Laws of Thermodynamics.,3,"J, C, K",ΔU = Q - W,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Laws of Thermodynamics.
16,Optics,Lenses,Derive and explain the significance of the formula '1/f = 1/v - 1/u' in Lenses.,The formula '1/f = 1/v - 1/u' relates key measurable physical quantities in Lenses.,The formula comes from theoretical derivation or experimental observation in the domain of Lenses.,3,"cm, mm, m",1/f = 1/v - 1/u,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Lenses.
17,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
18,Thermodynamics,Heat Transfer,Derive and explain the significance of the formula 'Q = mL' in Heat Transfer.,The formula 'Q = mL' relates key measurable physical quantities in Heat Transfer.,The formula comes from theoretical derivation or experimental observation in the domain of Heat Transfer.,3,"J, °C, kg",Q = mL,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Heat Transfer.
19,Electricity and Magnetism,Electrostatics,Derive and explain the significance of the formula 'F = kq1q2/r^2' in Electrostatics.,The formula 'F = kq1q2/r^2' relates key measurable physical quantities in Electrostatics.,The formula comes from theoretical derivation or experimental observation in the domain of Electrostatics.,3,"N, C, m",F = kq1q2/r^2,This expression is consistent with observed outcomes and derived using mathematical principles. It is validated within the boundary conditions typical to Electrostatics.
